"ANO","COORDENADA_X","COORDENADA_Y","ID_COMPRAVENTA","OBJECTID","point"
"2,012","836,511.17","1,185,805.8","4,020","207","POINT (-75.55465484206121 6.27431102194069)"
"2,012","835,149.33","1,185,805.26","2,229","206","POINT (-75.56695877433293 6.274306235209606)"
"2,012","835,867.16","1,185,790.81","3,070","205","POINT (-75.56047333541305 6.274175586012924)"
"2,012","835,628.54","1,185,763.02","2,210","204","POINT (-75.56262921645455 6.273924364946345)"
"2,012","835,686.97","1,185,752.85","1,368","203","POINT (-75.56210131481484 6.273832420832512)"
"2,012","835,621.79","1,185,738.61","1,308","202","POINT (-75.56269020213578 6.273703687303319)"
"2,012","835,639.95","1,185,732.79","1,377","201","POINT (-75.56252613085773 6.27365107105288)"
"2,012","835,208.1501","1,185,739.5462","1,864","200","POINT (-75.56642734560658 6.273712153316253)"
"2,012","835,645.19","1,185,723.93","1,378","199","POINT (-75.5624787890089 6.273570972264728)"
"2,012","835,237.53","1,185,719.7","1,863","198","POINT (-75.56616190437897 6.273532735026037)"
"2,012","834,486.47","1,185,713.27","2,235","197","POINT (-75.57294755941889 6.273474544779862)"
"2,012","835,571.53","1,185,670.2","1,301","196","POINT (-75.56314429198369 6.273085230367776)"
"2,012","835,300.63","1,185,664.17","2,234","195","POINT (-75.56559180958499 6.273030718733271)"
"2,012","835,524.16","1,185,660.66","1,299","194","POINT (-75.56357226898916 6.272998985512814)"
"2,012","835,645.3","1,185,657.83","1,369","193","POINT (-75.56247779792777 6.272973397118194)"
"2,012","835,645.3","1,185,657.83","2,209","192","POINT (-75.56247779792777 6.272973397118194)"
"2,012","833,842.22","1,185,630.94","3,153","191","POINT (-75.57876819100474 6.272730121791395)"
"2,012","835,645.19","1,185,630.93","1,370","190","POINT (-75.56247879286774 6.272730208449214)"
"2,012","835,668.19","1,185,623.93","1,304","189","POINT (-75.56227099374276 6.272666924162169)"
"2,012","835,353.49","1,185,610.6","2,025","188","POINT (-75.56511423177892 6.272546421116369)"
"2,012","835,363.23","1,185,602.97","2,227","187","POINT (-75.56502623324577 6.272477442352171)"
"2,012","835,854.55","1,185,525.46","1,371","186","POINT (-75.56058728368647 6.271776697937891)"
"2,012","835,729.1462","1,185,526.38","1,376","185","POINT (-75.56172027459817 6.271785023185829)"
"2,012","835,780.26","1,185,338.63","4,237","184","POINT (-75.56125848633589 6.270087671757374)"
"2,012","831,607.53","1,185,208.14","3,073","183","POINT (-75.59895782681531 6.268906893351559)"
"2,012","829,883.49","1,185,141.47","2,182","182","POINT (-75.61453394091828 6.268302929686995)"
"2,012","830,048.09","1,185,075.26","3,433","181","POINT (-75.61304677736481 6.267704497896795)"
"2,012","837,058.16","1,185,043.93","3,071","180","POINT (-75.54971310385926 6.267423239244913)"
"2,012","835,725.9","1,184,969.41","1,298","179","POINT (-75.56174963326683 6.266749752153426)"
"2,012","832,934.9328","1,184,920.8972","3,047","178","POINT (-75.58696504158493 6.266310721088424)"
"2,012","835,892.2","1,184,846.13","1,234","177","POINT (-75.56024717992507 6.265635231801425)"
"2,012","832,958.24","1,184,819.96","3,048","176","POINT (-75.58675443125532 6.265398210012846)"
"2,012","829,877.6014","1,184,758.5248","5,041","175","POINT (-75.61458681496227 6.264840919652942)"
"2,012","838,751.12","1,184,752.68","4,024","174","POINT (-75.53441792687552 6.264789540598594)"
"2,012","837,274.7623","1,184,718.655","1,367","173","POINT (-75.54775627011992 6.264482540101985)"
"2,012","837,656.85","1,184,715.42","1,361","172","POINT (-75.54430425548207 6.264453170832529)"
"2,012","836,435.41","1,184,646.18","4,026","171","POINT (-75.55533950804951 6.263827523630904)"
"2,012","837,626.09","1,184,643.8","1,362","170","POINT (-75.54458218528586 6.263805703055607)"
"2,012","830,943.71","1,184,550.13","2,181","169","POINT (-75.60495478259048 6.262957751672427)"
"2,012","837,058.91","1,184,459.02","1,366","168","POINT (-75.54970648064415 6.262135377079193)"
"2,012","829,082.13","1,184,234.85","3,784","167","POINT (-75.62177308631107 6.260105926983581)"
"2,012","829,601.29","1,184,187.99","2,183","166","POINT (-75.61708267192832 6.259682775260921)"
"2,012","836,099.8328","1,184,143.4223","1,534","165","POINT (-75.55837137187012 6.259282403297786)"
"2,012","834,877.2","1,184,131.37","2,251","164","POINT (-75.56941727996109 6.259173465604263)"
"2,012","833,612.22","1,184,060.97","1,532","163","POINT (-75.58084575422397 6.258536794577653)"
"2,012","835,156.4083","1,183,914.2659","2,398","162","POINT (-75.5668947580691 6.257210757881473)"
"2,012","834,891.75","1,183,898.63","2,014","161","POINT (-75.56928581002309 6.257069387464818)"
"2,012","834,742.34","1,183,894.86","2,233","160","POINT (-75.57063565264832 6.257035291910502)"
"2,012","834,747.44","1,183,893.97","2,237","159","POINT (-75.57058957667032 6.257027246391113)"
"2,012","834,865.2","1,183,892.96","2,264","158","POINT (-75.56952567525337 6.25701812593955)"
"2,012","834,753.64","1,183,892.95","2,238","157","POINT (-75.57053356274417 6.257018025712886)"
"2,012","834,860.2","1,183,865.97","2,261","156","POINT (-75.56957084552133 6.256774123224663)"
"2,012","834,860.81","1,183,863.47","2,248","155","POINT (-75.56956533428516 6.256751522095711)"
"2,012","828,585.62","1,183,861.26","2,180","154","POINT (-75.62625843215807 6.256727994768104)"
"2,012","834,894","1,183,857.01","2,263","153","POINT (-75.56926547929118 6.256693123225308)"
"2,012","834,902.99","1,183,852.78","3,428","152","POINT (-75.56918425898102 6.256654882700057)"
"2,012","834,717.84","1,183,841.51","2,265","151","POINT (-75.57085699214042 6.256552980317916)"
"2,012","829,728.4242","1,183,832.7025","3,113","150","POINT (-75.6159337619683 6.256470921227761)"
"2,012","834,862.76","1,183,830.13","2,013","149","POINT (-75.56954771437202 6.256450112944028)"
"2,012","834,822.26","1,183,829.89","2,019","148","POINT (-75.56991361072404 6.256447939872543)"
"2,012","834,871.14","1,183,828.72","2,026","147","POINT (-75.56947200533243 6.25643736654296)"
"2,012","834,848.2238","1,183,824.4493","2,262","146","POINT (-75.56967904088827 6.256398755563449)"
"2,012","834,885.7","1,183,812.76","2,015","145","POINT (-75.56934046210961 6.256293081750175)"
"2,012","834,923.6573","1,183,813.4809","2,177","144","POINT (-75.56899753785821 6.256299601808397)"
"2,012","834,948.64","1,183,809.91","2,231","143","POINT (-75.56877183202238 6.256267320899872)"
"2,012","834,948.88","1,183,801.39","2,232","142","POINT (-75.56876966317988 6.256190296101779)"
"2,012","834,938.19","1,183,779.97","2,230","141","POINT (-75.56886624024104 6.255996648490685)"
"2,012","834,958.42","1,183,757.53","2,250","140","POINT (-75.56868347143791 6.255793781664983)"
"2,012","834,899.16","1,183,757.04","2,240","139","POINT (-75.56921885391998 6.255789347710876)"
"2,012","834,825.4","1,183,715.47","2,396","138","POINT (-75.56988523263543 6.255413529434946)"
"2,012","834,702.67","1,183,616.82","2,397","137","POINT (-75.5709940216273 6.254521675290768)"
"2,012","835,236.91","1,183,593.34","4,798","136","POINT (-75.56616745909152 6.254309438812636)"
"2,012","835,256.07","1,183,589.1","4,793","135","POINT (-75.56599435911008 6.254271107606682)"
"2,012","828,220.09","1,183,587.08","3,782","134","POINT (-75.62956050205959 6.254248884007609)"
"2,012","835,252.75","1,183,581.44","4,792","133","POINT (-75.56602435330429 6.254201857534002)"
"2,012","835,262.43","1,183,578.94","4,795","132","POINT (-75.56593689988252 6.254179256537419)"
"2,012","834,733.9833","1,183,531.1792","2,178","131","POINT (-75.57071111476561 6.253747445308641)"
"2,012","830,654.82","1,183,411.33","2,185","130","POINT (-75.60756394998356 6.252662258528109)"
"2,012","833,513.71","1,183,318.24","1,372","129","POINT (-75.58173552921896 6.251822137788473)"
"2,012","833,444.65","1,183,310.59","1,536","128","POINT (-75.5823594425109 6.251752957895221)"
"2,012","833,444.65","1,183,310.59","1,000","127","POINT (-75.5823594425109 6.251752957895221)"
"2,012","833,440.74","1,183,302.56","1,535","126","POINT (-75.58239476459191 6.251680361741246)"
"2,012","828,955.33","1,183,299.44","3,112","125","POINT (-75.62291773340492 6.251649255149911)"
"2,012","829,084.39","1,183,274.7","3,110","124","POINT (-75.62175173012413 6.251425720825777)"
"2,012","837,254.25","1,183,264.46","3,065","123","POINT (-75.54794201441878 6.251335938165567)"
"2,012","833,484.26","1,183,210.38","1,293","122","POINT (-75.58200156057109 6.25084702401022)"
"2,012","833,585.19","1,183,208.05","1,314","121","POINT (-75.5810897197319 6.25082598849753)"
"2,012","833,540.62","1,183,203.68","1,239","120","POINT (-75.5814923808827 6.250786469121667)"
"2,012","828,480.31","1,183,199.02","3,785","119","POINT (-75.62720914464879 6.250740921661079)"
"2,012","828,885.77","1,183,136.51","3,427","118","POINT (-75.62354600189217 6.250176221706924)"
"2,012","833,455.8835","1,183,129.2054","1,289","117","POINT (-75.5822579005089 6.250113159005537)"
"2,012","829,123.14","1,183,036.73","3,783","116","POINT (-75.62140141655902 6.249274397518458)"
"2,012","833,465.91","1,183,029.49","1,263","115","POINT (-75.58216728782493 6.249211687784397)"
"2,012","832,834.9949","1,183,035.9257","2,186","114","POINT (-75.58786720078169 6.249269652110124)"
"2,012","833,459.32","1,183,020.59","1,375","113","POINT (-75.58222682156966 6.249131225638362)"
"2,012","833,417.83","1,183,014.56","1,374","112","POINT (-75.58260165503067 6.249076699147553)"
